ImageId,Label
1,2
2,0
3,5
4,5
5,2
6,9
7,0
8,3
9,0
10,3
11,8
12,2
13,4
14,0
15,4
16,3
17,3
18,1
19,9
20,0
21,9
22,1
23,1
24,8
25,9
26,4
27,2
28,9
29,9
30,9
31,2
32,2
33,4
34,8
35,2
36,2
37,9
38,8
39,4
40,2
41,2
42,9
43,4
44,9
45,8
46,9
47,8
48,8
49,3
50,2
51,2
52,8
53,1
54,3
55,8
56,2
57,1
58,8
59,2
60,0
61,7
62,1
63,2
64,0
65,8
66,0
67,1
68,9
69,0
70,1
71,2
72,5
73,8
74,8
75,2
76,8
77,2
78,9
79,2
80,2
81,8
82,5
83,1
84,0
85,4
86,2
87,4
88,3
89,4
90,9
91,2
92,0
93,2
94,5
95,1
96,4
97,3
98,8
99,9
100,4
101,0
102,3
103,8
104,0
105,4
106,2
107,0
108,8
109,0
110,3
111,0
112,0
113,4
114,2
115,1
116,2
117,1
118,1
119,2
120,8
121,3
122,9
123,2
124,8
125,2
126,3
127,8
128,9
129,2
130,9
131,3
132,8
133,2
134,0
135,0
136,0
137,3
138,1
139,3
140,0
141,4
142,3
143,4
144,3
145,8
146,8
147,9
148,9
149,2
150,8
151,8
152,3
153,8
154,2
155,8
156,2
157,4
158,4
159,4
160,8
161,3
162,0
163,4
164,8
165,1
166,8
167,2
168,2
169,4
170,0
171,3
172,0
173,9
174,2
175,1
176,3
177,2
178,4
179,1
180,2
181,4
182,8
183,8
184,2
185,8
186,9
187,2
188,1
189,2
190,0
191,2
192,2
193,4
194,4
195,4
196,0
197,9
198,9
199,0
200,9
201,1
202,9
203,0
204,1
205,9
206,8
207,8
208,4
209,5
210,2
211,0
212,9
213,3
214,2
215,9
216,2
217,1
218,2
219,3
220,4
221,2
222,3
223,1
224,3
225,2
226,8
227,9
228,5
229,1
230,0
231,0
232,4
233,9
234,1
235,2
236,3
237,3
238,8
239,8
240,2
241,3
242,2
243,2
244,8
245,8
246,8
247,4
248,8
249,3
250,5
251,9
252,9
253,1
254,3
255,8
256,9
257,3
258,1
259,4
260,3
261,2
262,2
263,8
264,8
265,7
266,0
267,2
268,0
269,3
270,1
271,2
272,0
273,5
274,3
275,5
276,4
277,1
278,8
279,8
280,4
281,0
282,5
283,2
284,9
285,8
286,3
287,9
288,8
289,4
290,9
291,8
292,7
293,9
294,4
295,9
296,2
297,3
298,0
299,3
300,3
301,2
302,9
303,8
304,2
305,8
306,8
307,0
308,1
309,9
310,5
311,8
312,8
313,8
314,8
315,0
316,3
317,9
318,8
319,1
320,8
321,4
322,1
323,1
324,9
325,8
326,4
327,8
328,1
329,4
330,8
331,2
332,3
333,1
334,8
335,0
336,5
337,0
338,0
339,2
340,0
341,2
342,2
343,1
344,8
345,3
346,0
347,5
348,5
349,8
350,8
351,2
352,9
353,9
354,2
355,9
356,8
357,9
358,4
359,0
360,2
361,2
362,2
363,3
364,8
365,5
366,2
367,3
368,8
369,1
370,2
371,4
372,8
373,4
374,9
375,9
376,4
377,9
378,8
379,3
380,9
381,2
382,8
383,8
384,9
385,2
386,5
387,2
388,1
389,3
390,9
391,1
392,9
393,2
394,9
395,5
396,1
397,1
398,1
399,5
400,3
401,9
402,9
403,2
404,1
405,1
406,1
407,4
408,3
409,3
410,0
411,0
412,8
413,4
414,1
415,4
416,9
417,1
418,1
419,3
420,4
421,9
422,3
423,2
424,8
425,9
426,1
427,4
428,9
429,9
430,2
431,4
432,8
433,3
434,2
435,0
436,1
437,3
438,9
439,8
440,0
441,8
442,4
443,7
444,4
445,8
446,4
447,1
448,8
449,3
450,9
451,8
452,7
453,2
454,9
455,4
456,9
457,2
458,3
459,9
460,8
461,2
462,9
463,8
464,0
465,8
466,1
467,9
468,9
469,4
470,1
471,1
472,4
473,9
474,8
475,8
476,0
477,1
478,3
479,1
480,0
481,4
482,8
483,1
484,2
485,5
486,9
487,4
488,8
489,3
490,9
491,7
492,9
493,8
494,8
495,2
496,0
497,5
498,3
499,2
500,0
501,2
502,5
503,5
504,4
505,1
506,8
507,3
508,3
509,0
510,0
511,9
512,8
513,8
514,9
515,8
516,8
517,8
518,2
519,8
520,2
521,2
522,9
523,0
524,9
525,5
526,1
527,0
528,1
529,1
530,7
531,0
532,8
533,3
534,8
535,9
536,8
537,2
538,8
539,9
540,3
541,0
542,2
543,8
544,2
545,0
546,3
547,0
548,9
549,2
550,1
551,1
552,3
553,0
554,3
555,8
556,0
557,9
558,8
559,2
560,2
561,8
562,3
563,8
564,1
565,2
566,5
567,4
568,1
569,1
570,5
571,4
572,8
573,8
574,5
575,0
576,4
577,8
578,2
579,4
580,4
581,8
582,1
583,8
584,2
585,4
586,1
587,4
588,2
589,8
590,3
591,8
592,8
593,5
594,8
595,2
596,2
597,0
598,2
599,0
600,3
601,8
602,1
603,9
604,1
605,8
606,2
607,8
608,8
609,5
610,4
611,9
612,8
613,3
614,2
615,0
616,8
617,7
618,0
619,0
620,4
621,8
622,8
623,9
624,4
625,0
626,8
627,1
628,3
629,4
630,1
631,2
632,1
633,8
634,5
635,1
636,4
637,9
638,9
639,8
640,3
641,0
642,4
643,4
644,8
645,0
646,9
647,4
648,4
649,1
650,8
651,9
652,9
653,0
654,0
655,8
656,2
657,8
658,3
659,3
660,7
661,2
662,3
663,4
664,0
665,4
666,8
667,1
668,3
669,9
670,5
671,3
672,9
673,4
674,3
675,8
676,9
677,8
678,4
679,2
680,0
681,2
682,9
683,8
684,5
685,1
686,9
687,4
688,4
689,9
690,9
691,2
692,2
693,0
694,1
695,5
696,9
697,3
698,5
699,8
700,8
701,4
702,0
703,0
704,0
705,2
706,0
707,8
708,4
709,2
710,8
711,5
712,8
713,1
714,8
715,3
716,2
717,2
718,3
719,9
720,8
721,4
722,3
723,1
724,0
725,1
726,0
727,2
728,8
729,8
730,4
731,9
732,1
733,3
734,2
735,8
736,2
737,1
738,8
739,1
740,8
741,4
742,8
743,3
744,4
745,3
746,9
747,8
748,9
749,8
750,5
751,4
752,5
753,4
754,4
755,1
756,4
757,9
758,1
759,1
760,2
761,4
762,0
763,8
764,0
765,4
766,0
767,0
768,8
769,1
770,9
771,2
772,8
773,0
774,1
775,8
776,3
777,4
778,2
779,3
780,1
781,1
782,2
783,5
784,8
785,3
786,8
787,3
788,9
789,2
790,8
791,8
792,8
793,4
794,0
795,4
796,3
797,1
798,5
799,9
800,9
801,1
802,1
803,3
804,3
805,1
806,9
807,4
808,5
809,8
810,1
811,8
812,4
813,2
814,3
815,4
816,4
817,0
818,9
819,9
820,8
821,3
822,0
823,8
824,0
825,1
826,8
827,0
828,4
829,5
830,2
831,1
832,3
833,8
834,2
835,3
836,9
837,5
838,1
839,3
840,2
841,1
842,9
843,0
844,8
845,8
846,3
847,4
848,2
849,3
850,8
851,8
852,9
853,5
854,4
855,2
856,8
857,1
858,3
859,8
860,8
861,0
862,4
863,1
864,8
865,2
866,3
867,2
868,5
869,2
870,3
871,8
872,8
873,9
874,3
875,8
876,4
877,1
878,1
879,0
880,1
881,4
882,4
883,1
884,1
885,2
886,9
887,1
888,8
889,4
890,9
891,1
892,9
893,0
894,0
895,4
896,2
897,9
898,8
899,1
900,1
901,8
902,3
903,8
904,9
905,8
906,2
907,3
908,3
909,2
910,9
911,2
912,0
913,9
914,8
915,1
916,5
917,4
918,5
919,1
920,0
921,2
922,3
923,5
924,9
925,4
926,2
927,9
928,4
929,2
930,3
931,3
932,2
933,1
934,4
935,8
936,3
937,9
938,4
939,9
940,8
941,2
942,2
943,2
944,1
945,0
946,9
947,3
948,2
949,9
950,3
951,2
952,4
953,5
954,2
955,3
956,2
957,8
958,3
959,0
960,2
961,5
962,9
963,4
964,0
965,0
966,5
967,1
968,8
969,8
970,3
971,3
972,1
973,9
974,2
975,9
976,0
977,8
978,0
979,9
980,4
981,8
982,8
983,9
984,5
985,9
986,9
987,0
988,3
989,2
990,2
991,1
992,9
993,8
994,2
995,8
996,3
997,2
998,2
999,2
1000,9
1001,0
1002,9
1003,0
1004,2
1005,1
1006,3
1007,4
1008,4
1009,2
1010,9
1011,2
1012,2
1013,3
1014,9
1015,2
1016,9
1017,2
1018,3
1019,9
1020,5
1021,5
1022,9
1023,8
1024,2
1025,2
1026,2
1027,1
1028,8
1029,8
1030,1
1031,9
1032,1
1033,8
1034,9
1035,4
1036,1
1037,8
1038,8
1039,2
1040,0
1041,1
1042,2
1043,1
1044,9
1045,2
1046,2
1047,2
1048,9
1049,8
1050,2
1051,2
1052,2
1053,3
1054,3
1055,9
1056,1
1057,1
1058,3
1059,2
1060,3
1061,0
1062,0
1063,4
1064,0
1065,9
1066,4
1067,5
1068,0
1069,8
1070,9
1071,8
1072,3
1073,9
1074,2
1075,9
1076,2
1077,2
1078,1
1079,2
1080,9
1081,2
1082,0
1083,2
1084,8
1085,9
1086,9
1087,2
1088,5
1089,3
1090,1
1091,3
1092,1
1093,0
1094,1
1095,9
1096,5
1097,2
1098,3
1099,9
1100,3
1101,4
1102,2
1103,7
1104,1
1105,8
1106,3
1107,0
1108,2
1109,5
1110,4
1111,9
1112,2
1113,4
1114,1
1115,0
1116,3
1117,2
1118,2
1119,1
1120,9
1121,2
1122,8
1123,4
1124,1
1125,4
1126,3
1127,5
1128,2
1129,1
1130,2
1131,8
1132,3
1133,8
1134,0
1135,3
1136,2
1137,8
1138,9
1139,9
1140,9
1141,2
1142,0
1143,2
1144,1
1145,2
1146,8
1147,4
1148,8
1149,8
1150,3
1151,8
1152,9
1153,8
1154,8
1155,4
1156,9
1157,8
1158,1
1159,8
1160,0
1161,9
1162,1
1163,2
1164,0
1165,2
1166,4
1167,4
1168,2
1169,4
1170,8
1171,8
1172,2
1173,9
1174,1
1175,8
1176,1
1177,8
1178,9
1179,5
1180,5
1181,3
1182,8
1183,9
1184,9
1185,0
1186,7
1187,0
1188,3
1189,2
1190,9
1191,9
1192,0
1193,3
1194,8
1195,8
1196,5
1197,3
1198,2
1199,2
1200,4
1201,4
1202,8
1203,3
1204,0
1205,1
1206,9
1207,9
1208,2
1209,4
1210,0
1211,8
1212,8
1213,8
1214,4
1215,8
1216,9
1217,2
1218,9
